station_seqnum,date,value (mm),who,value (mm)
1060001,2024-05-15,7.5,7,7.5
1060002,2024-05-15,80.5,7,80.5
1060003,2024-05-15,-9999,7,-9999
1060004,2024-05-15,-9999,7,-9999
1060005,2024-05-15,4.6,7,4.6
1060006,2024-05-15,-9999,7,-9999
1060007,2024-05-15,-9999,7,-9999
1060008,2024-05-15,-9999,7,-9999
1060009,2024-05-15,-9999,7,-9999
1060010,2024-05-15,4.2,7,4.2
1060011,2024-05-15,-9999,7,-9999
1060012,2024-05-15,5.1,7,5.1
1060013,2024-05-15,8.7,7,8.7
1060014,2024-05-15,9.8,7,9.8
1060015,2024-05-15,1,7,1
1060016,2024-05-15,-9999,7,-9999
1060017,2024-05-15,-9999,7,-9999
1060018,2024-05-15,-9999,7,-9999
1060019,2024-05-15,-9999,7,-9999
1060020,2024-05-15,2.6,7,2.6
1060021,2024-05-15,12.8,7,12.8
1060022,2024-05-15,5.6,7,5.6
1060023,2024-05-15,0,7,0
1060024,2024-05-15,-9999,7,-9999
1060025,2024-05-15,15,7,15
1060026,2024-05-15,0,7,0
1060027,2024-05-15,-9999,7,-9999
1060028,2024-05-15,-9999,7,-9999
1060029,2024-05-15,29.2,7,29.2
1060030,2024-05-15,0,7,0
1060031,2024-05-15,26.4,7,26.4
1060032,2024-05-15,-9999,7,-9999
1060033,2024-05-15,3,7,3
1060034,2024-05-15,0.6,7,0.6
1060035,2024-05-15,-9999,7,-9999
1060036,2024-05-15,33.6,7,33.6
1060037,2024-05-15,147.8,7,147.8
1060038,2024-05-15,-9999,7,-9999
1060039,2024-05-15,5.1,7,5.1
1060040,2024-05-15,17.4,7,17.4
1060041,2024-05-15,-9999,7,-9999
1060042,2024-05-15,0,7,0
1060043,2024-05-15,6.2,7,6.2
1060044,2024-05-15,13.9,7,13.9
1060045,2024-05-15,0,7,0
1060046,2024-05-15,33.6,7,33.6
,,,,
