station_seqnum,date,value (mm)
1060001,2026-05-15,-9999
1060002,2026-05-15,38.4
1060003,2026-05-15,-9999
1060004,2026-05-15,-9999
1060005,2026-05-15,44.3
1060006,2026-05-15,-9999
1060007,2026-05-15,1.5
1060008,2026-05-15,1.2
1060009,2026-05-15,-9999
1060010,2026-05-15,8.6
1060011,2026-05-15,-9999
1060012,2026-05-15,2.2
1060013,2026-05-15,12.8
1060014,2026-05-15,22.6
1060015,2026-05-15,2.6
1060016,2026-05-15,0
1060017,2026-05-15,14.6
1060018,2026-05-15,-9999
1060019,2026-05-15,0
1060020,2026-05-15,-9999
1060021,2026-05-15,-9999
1060022,2026-05-15,68.6
1060023,2026-05-15,0
1060024,2026-05-15,-9999
1060025,2026-05-15,51.5
1060026,2026-05-15,7.1
1060027,2026-05-15,-9999
1060028,2026-05-15,-9999
1060029,2026-05-15,-9999
1060030,2026-05-15,0
1060031,2026-05-15,11.3
1060032,2026-05-15,-9999
1060033,2026-05-15,0
1060034,2026-05-15,1.9
1060035,2026-05-15,-9999
1060036,2026-05-15,8
1060037,2026-05-15,73.3
1060038,2026-05-15,45.1
1060039,2026-05-15,0
1060040,2026-05-15,0
1060041,2026-05-15,16
1060042,2026-05-15,0
1060043,2026-05-15,15.8
1060044,2026-05-15,23.1
1060045,2026-05-15,0
1060046,2026-05-15,-9999
1060047,2026-05-15,27.1
1060048,2026-05-15,69.2
