station_seqnum,date,value (mm),
1060001,2024-09-15,-9999,
1060002,2024-09-15,59.2,
1060003,2024-09-15,-9999,
1060004,2024-09-15,3.4,
1060005,2024-09-15,55,
1060006,2024-09-15,-9999,
1060007,2024-09-15,3.8,
1060008,2024-09-15,0,
1060009,2024-09-15,-9999,
1060010,2024-09-15,2.3,
1060011,2024-09-15,25.9,
1060012,2024-09-15,11.8,
1060013,2024-09-15,49.8,
1060014,2024-09-15,50.9,
1060015,2024-09-15,4.5,
1060016,2024-09-15,-9999,
1060017,2024-09-15,1.5,
1060018,2024-09-15,0.7,
1060019,2024-09-15,-9999,
1060020,2024-09-15,-9999,
1060021,2024-09-15,27.9,
1060022,2024-09-15,27.5,
1060023,2024-09-15,-9999,
1060024,2024-09-15,-9999,
1060025,2024-09-15,48.2,
1060026,2024-09-15,-9999,
1060027,2024-09-15,-9999,
1060028,2024-09-15,-9999,
1060029,2024-09-15,-9999,
1060030,2024-09-15,0,
1060031,2024-09-15,0,
1060032,2024-09-15,-9999,
1060033,2024-09-15,6.8,
1060034,2024-09-15,5,
1060035,2024-09-15,30,
1060036,2024-09-15,0,
1060037,2024-09-15,82.8,
1060038,2024-09-15,0,
1060039,2024-09-15,0.5,
1060040,2024-09-15,2.2,
1060041,2024-09-15,26.7,
1060042,2024-09-15,0,
1060043,2024-09-15,-9999,
1060044,2024-09-15,26,
1060045,2024-09-15,0,
1060046,2024-09-15,0,
,,,
