station_seqnum,date,value,who,value
1060001,2025-11-15,26.6,7,26.6
1060002,2025-11-15,14,7,14
1060003,2025-11-15,-9999,7,-9999
1060004,2025-11-15,-9999,7,-9999
1060005,2025-11-15,263.5,7,263.5
1060006,2025-11-15,-9999,7,-9999
1060007,2025-11-15,216,7,216
1060008,2025-11-15,86.1,7,86.1
1060009,2025-11-15,-9999,7,-9999
1060010,2025-11-15,77.2,7,77.2
1060011,2025-11-15,-9999,7,-9999
1060012,2025-11-15,158.9,7,158.9
1060013,2025-11-15,100.4,7,100.4
1060014,2025-11-15,88.6,7,88.6
1060015,2025-11-15,93.9,7,93.9
1060016,2025-11-15,95.5,7,95.5
1060017,2025-11-15,174.2,7,174.2
1060018,2025-11-15,-9999,7,-9999
1060019,2025-11-15,-9999,7,-9999
1060020,2025-11-15,-9999,7,-9999
1060021,2025-11-15,-9999,7,-9999
1060022,2025-11-15,207.4,7,207.4
1060023,2025-11-15,-9999,7,-9999
1060024,2025-11-15,376.3,7,376.3
1060025,2025-11-15,75.4,7,75.4
1060026,2025-11-15,-9999,7,-9999
1060027,2025-11-15,73.3,7,73.3
1060028,2025-11-15,-9999,7,-9999
1060029,2025-11-15,28.9,7,28.9
1060030,2025-11-15,118.5,7,118.5
1060031,2025-11-15,123.6,7,123.6
1060032,2025-11-15,-9999,7,-9999
1060033,2025-11-15,194.2,7,194.2
1060034,2025-11-15,147.7,7,147.7
1060035,2025-11-15,59.5,7,59.5
1060036,2025-11-15,67.7,7,67.7
1060037,2025-11-15,34.9,7,34.9
1060038,2025-11-15,310,7,310
1060039,2025-11-15,96,7,96
1060040,2025-11-15,238.7,7,238.7
1060041,2025-11-15,-9999,7,-9999
1060042,2025-11-15,180.3,7,180.3
1060043,2025-11-15,103.6,7,103.6
1060044,2025-11-15,151.9,7,151.9
1060045,2025-11-15,84,7,84
1060046,2025-11-15,104,7,104
1060047,2025-11-15,96.6,7,96.6
1060048,2025-11-15,119,7,119
